0,Cremoso boa acidez medio corpo elegante
1,Taninos robustos final persistente
2,Corpo de leve para medio taninos macios boa acidez final agradavel
3,Boa acidez jovem fresco
4,Boa acidez refrescante e equilibrado
5,Leve frutado boa acidez taninos macios
6,Frutado medio corpo acidez agradavel taninos macios
7,Frutado bela acidez e final agradavel
8,Frutado corpo de leve para medio taninos presentes boa acidez
9,Taninos aveludados frutado e boa acidez
10,Frutado bom corpo taninos macios acidez agradavel
11,Aveludado notas frutadas com toque da madeira acidez equilibrada e boa persistencia
12,Frutado taninos suaves
13,Equilibrado taninos suaves bom final
14,Fresco aveludado e frutado
15,Potente estruturado e com taninos marcantes
16,Corpo medio estruturado e marcante
17,Leve refrescante boa cremosidade frutado
18,Suculento frutado e jovem
19,Encorpado saboroso e bom final
20,Harmonico boa acidez final persistente
21,Leve fresco frutado floral bom final
22,Leve fresco jovem e com boa acidez
23,Bom corpo saboroso e com final elegante
24,Tem bom corpo taninos presentes boa acidez e um final frutado
25,Harmonico agradavel e leve
26,Acidez equilibrada fresco jovem
27,Harmonico boa acidez
28,Medio corpo taninos presentes boa acidez amadeirado
29,Medio corpo boa acidez frutado taninos macios bom final
30,Leve agradavel taninos redondos
31,Frutado amadeirado corpo de medio para encorpado taninos presentes boa acidez
32,Frutado leve acidez agradavel
33,Corpo de leve para medio acidez agradavel taninos macios
34,Elegante cremoso boa acidez final agradavel
35,Estruturado cremoso frutado boa acidez final persistente
36,Estruturado cremoso frutado boa acidez final persistente
37,Elegante encorpado cremoso final longo
38,Elegante encorpado cremoso final longo
39,Estruturado cremoso frutado boa acidez final persistente
40,Medio corpo boa acidez doce
41,Frutado bom corpo cremoso boa acidez adocicado
42,Medio corpo taninos macios acidez agradavel tosta
43,Estruturado cremoso frutado boa acidez final persistente
44,Estruturado frutado fresco taninos macios final longo
45,Corpo de leve para medio acidez agradavel taninos macios
46,Medio corpo fresco taninos macios frutado final agradavel
47,Corpo de leve para medio fresco frutado boa cremosidade
48,Elegante complexo bom corpo cremoso boa acidez final longo
49,Leve frutado boa acidez final agradavel
50,Leve docura sutil fresco
51,Estruturado boa acidez taninos presentes amadeirado final longo
52,Frutado boa acidez taninos macios especiarias final agradavel
53,Corpo de medio para encorpado acidez agradavel taninos presentes bom final especiarias
54,Medio corpo acidez agradavel taninos presentes
55,Complexo corpo de medio para encorpado taninos presentes acidez agradavel
56,Corpo de medio para encorpado taninos presentes boa acidez final agradavel
57,Complexo encorpado taninos presentes fresco amadeirado
58,Leve boa acidez frutado
59,Frutado leve acidez agradavel sutil amadeirado
60,Corpo de leve para medio boa acidez taninos presentes
61,Frutado boa acidez leve
62,Leve fresco taninos sedosos
63,Medio corpo acidez agradavel taninos presentes
64,Corpo de leve para medio taninos macios acidez agradavel
65,Harmonico complexo frutado medio corpo acidez agradavel bom final
66,Bom corpo acidez agradavel taninos macios
67,Frutado bom corpo acidez agradavel taninos presentes
68,Encorpado taninos presentes boa acidez complexo folhas secas
69,Elegante medio corpo taninos macios acidez agradavel herbaceo final agradavel
70,Intenso leve boa acidez notas citricas em evidencia
71,Frutado medio corpo taninos macios boa acidez
72,Leve com boa presenca gustativa citrico boa acidez vibrante lichia
73,Corpo de medio para encorpado taninos presentes boa acidez complexidade media
74,Medio corpo acidez agradavel taninos presentes leve frutado
75,Leve acidez agradavel boa cremosidade
76,Corpo de medio para encorpado taninos macios acidez agradavel frutado media presenca da madeira
77,Potente taninos presentes boa acidez tosta final longo
78,Potente taninos macios boa acidez complexo final longo
79,Encorpado taninos macios amadeirado boa acidez
80,Corpo de medio para encorpado taninos presentes fresco saboroso final agradavel
81,Leve boa acidez frutado
82,Equilibrado frutado gastronomico bom corpo taninos presentes acidez agradavel
83,Leve doce boa acidez
84,Corpo de medio para encorpado taninos macios acidez agradavel complexo maduro
85,Medio corpo boa acidez taninos macios bom final
86,Corpo de leve para medio taninos macios acidez marcante
87,Frutado leve boa acidez
88,Frutado medio corpo acidez agradavel taninos macios
89,Corpo entre leve para medio taninos sedosos boa acidez frutado
90,Corpo de medio para encorpado taninos presentes boa acidez amadeirado
91,Medio corpo taninos macios acidez agradavel leve amadeirado
92,Elegante frutado boa presenca em boca acidez agradavel
93,Maduro corpo medio para encorpado acidez presente
94,Medio corpo acidez marcante frutado amadeirado
95,Medio corpo taninos presentes boa acidez frutado media presenca da madeira complexo
96,Leve frutado fresco mineral delicada cremosidade
97,Leve boa acidez frutado
98,Leve acidez agradavel facil de beber
99,Elegante complexo boa acidez taninos presentes bom corpo
100,Leve acidez agradavel adocicado
101,Frutado acidez agradavel boa presenca em boca citrico
102,Leve boa acidez boa cremosidade
103,Medio corpo acidez agradavel taninos macios frutado
104,Bom corpo boa acidez final agradavel
105,Intenso encorpado taninos presentes boa acidez longo complexo
106,Medio corpo boa acidez untuoso final longo
107,Complexo intenso encorpado acidez agradavel taninos presentes amadeirado bom final
108,Untuoso medio corpo boa acidez doce
109,Frutado boa acidez taninos sedosos leve
110,Encorpado taninos presentes boa acidez harmonico frutado amadeirado
111,Corpo de medio para encorpado taninos presentes acidez agradavel frutado amadeirado
112,Elegante medio corpo acidez agradavel taninos macios
113,Aveludado complexo boa acidez corpo de medio para encorpado
114,Exuberante encorpado taninos presentes boa acidez final longo
115,Maduro frutado notas da madeira corpo de medio a encorpado acidez agradavel taninos macios
116,Corpo de medio para encorpado taninos macios boa acidez elegante complexo
117,Medio corpo acidez agradavel taninos firmes
118,Encorpado complexo maduro taninos macios acidez agradavel
119,Medio corpo boa acidez frutado final agradavel
120,Corpo de medio para encorpado boa acidez taninos macios boa persistencia
121,Encorpado boa acidez taninos macios
122,Encorpado taninos presentes acidez agradavel final longo
123,Frutado taninos presentes medio corpo fresco amadeirado especiarias
124,Leve frutado acidez agradavel
125,Frutado corpo de leve para medio acidez agradavel taninos macios
126,Medio corpo taninos macios boa acidez media presenca da madeira leve frutado
127,Corpo entre leve e medio acidez agradavel taninos macios
128,Medio corpo Acidez agradavel Taninos macios Bom final
129,Leve frutado acidez agradavel boa cremosidade
130,Medio corpo taninos presentes boa acidez amadeirado leve frutado
131,Frutado amadeirado corpo de medio para encorpado taninos presentes acidez agradavel
132,Medio corpo boa acidez taninos macios final agradavel
133,Medio corpo acidez agradavel taninos macios
134,Medio corpo boa acidez taninos presentes frutado leve amadeirado
135,Equilibrado boa acidez encorpado taninos presentes final persistente
136,Medio corpo taninos macios acidez agradavel frutado
137,Medio corpo acidez agradavel taninos macios media presenca de fruta media presenca de madeira
138,Amadeirado frutado taninos presentes potente boa acidez
139,Equilibrado medio corpo taninos macios boa acidez
