,Mls
0,750.00 
1,750.00 
2,750.00 
3,750.00 
4,750.00 
5,750.00 
6,750.00 
7,750.00 
8,750.00 
9,750.00 
10,750.00 
11,750.00 
12,750.00 
13,750.00 
14,750.00 
15,750.00 
16,750.00 
17,750.00 
18,750.00 
19,750.00 
20,750.00 
21,750.00 
22,750.00 
23,750.00 
24,750.00 
25,750.00 
26,750.00 
27,750.00 
28,750.00 
29,750.00 
30,750.00 
31,750.00 
32,750.00 
33,750.00 
34,1.50 
35,750.00 
36,750.00 
37,1500.00 
38,1500.00 
39,750.00 
40,375.00 
41,750.00 
42,750.00 
43,1500.00 
44,750.00 
45,750.00 
46,750.00 
47,750.00 
48,750.00 
49,750.00 
50,750.00 
51,750.00 
52,750.00 
53,750.00 
54,750.00 
55,750.00 
56,750.00 
57,750.00 
58,750.00 
59,750.00 
60,750.00 
61,750.00 
62,750.00 
63,750.00 
64,750.00 
65,750.00 
66,750.00 
67,750.00 
68,750.00 
69,750.00 
70,750.00 
71,750.00 
72,750.00 
73,750.00 
74,750.00 
75,750.00 
76,750.00 
77,750.00 
78,750.00 
79,750.00 
80,750.00 
81,750.00 
82,750.00 
83,750.00 
84,750.00 
85,750.00 
86,750.00 
87,750.00 
88,750.00 
89,750.00 
90,750.00 
91,750.00 
92,750.00 
93,750.00 
94,750.00 
95,750.00 
96,750.00 
97,750.00 
98,750.00 
99,750.00 
100,750.00 
101,750.00 
102,750.00 
103,750.00 
104,750.00 
105,750.00 
106,750.00 
107,750.00 
108,375.00 
109,750.00 
110,750.00 
111,750.00 
112,750.00 
113,750.00 
114,750.00 
115,750.00 
116,750.00 
117,750.00 
118,750.00 
119,750.00 
120,750.00 
121,750.00 
122,750.00 
123,750.00 
124,750.00 
125,750.00 
126,750.00 
127,750.00 
128,750.00 
129,750.00 
130,750.00 
131,750.00 
132,750.00 
133,750.00 
134,750.00 
135,750.00 
136,750.00 
137,750.00 
138,750.00 
139,750.00 
140,750.00 
141,750.00 
142,750.00 
143,750.00 
144,750.00 
145,750.00 
146,750.00 
147,750.00 
148,750.00 
149,750.00 
150,750.00 
151,750.00 
152,750.00 
153,750.00 
154,750.00 
155,750.00 
156,750.00 
157,750.00 
158,750.00 
159,750.00 
160,750.00 
161,750.00 
162,750.00 
163,750.00 
164,750.00 
165,750.00 
166,750.00 
167,500.00 
168,750.00 
169,750.00 
170,750.00 
171,750.00 
172,750.00 
173,750.00 
174,750.00 
175,750.00 
176,750.00 
177,750.00 
178,750.00 
179,750.00 
180,750.00 
181,750.00 
182,750.00 
183,750.00 
184,750.00 
185,750.00 
186,750.00 
187,750.00 
188,750.00 
189,750.00 
190,750.00 
191,750.00 
192,3000.00 
193,750.00 
194,375.00 
195,750.00 
196,750.00 
197,750.00 
198,750.00 
199,750.00 
200,750.00 
201,750.00 
202,750.00 
203,750.00 
204,750.00 
205,750.00 
206,750.00 
207,750.00 
208,750.00
209,750.00 
210,750.00 
211,750.00 
212,750.00 
213,375.00 
214,750.00 
215,750.00 
216,750.00 
217,750.00 
218,750.00 
219,750.00 
220,500.00 
221,750.00 
222,200.00 
223,750.00 
224,750.00 
225,750.00 
226,750.00 
227,750.00 
228,750.00 
229,750.00 
230,750.00 
231,750.00 
232,750.00 
233,750.00 
234,750.00 
235,750.00 
236,750.00 
237,750.00 
238,750.00 
239,750.00 
240,750.00 
241,750.00 
242,750.00 
243,750.00 
244,750.00 
245,750.00 
246,750.00 
247,750.00 
248,750.00 
249,750.00 
250,750.00 
251,750.00 
252,750.00 
253,750.00 
254,750.00 
255,750.00 
256,750.00 
257,750.00 
258,750.00 
259,375.00 
260,750.00 
261,750.00 
262,750.00 
263,750.00 
264,750.00 
265,750.00 
266,750.00 
267,750.00 
268,750.00 
269,750.00 
270,750.00 
271,750.00 
272,750.00 
273,750.00 
274,750.00 
275,750.00 
276,750.00 
277,750.00 
278,750.00 
279,750.00 
280,750.00 
281,750.00 
282,750.00 
283,750.00 
284,750.00 
285,750.00 
286,750.00 
287,750.00 
288,750.00 
289,750.00 
290,750.00 
291,750.00 
292,750.00 
293,750.00 
294,750.00 
295,750.00 
296,750.00 
297,750.00 
298,750.00 
299,750.00 
300,750.00 
301,750.00 
302,750.00 
303,750.00 
304,1500.00 
305,750.00 
306,750.00 
307,750.00 
308,750.00 
309,750.00 
310,750.00 
311,750.00 
312,750.00 
313,750.00 
314,1500.00 
315,750.00 
316,750.00 
317,750.00 
318,750.00 
319,375.00 
320,750.00 
321,750.00 
322,750.00 
323,750.00 
324,750.00 
325,750.00 
326,750.00 
327,750.00 
328,750.00 
329,750.00 
330,500.00 
331,750.00 
332,750.00 
333,750.00 
334,750.00 
335,750.00 
336,750.00 
337,750.00 
338,750.00 
339,750.00 
340,750.00 
341,750.00 
342,750.00 
343,750.00 
344,750.00 
345,750.00 
346,750.00 
347,750.00 
348,750.00 
349,750.00 
350,750.00 
351,750.00 
352,750.00 
353,750.00 
354,750.00 
355,750.00 
356,750.00 
357,750.00 
358,750.00 
359,750.00 
360,750.00 
361,750.00 
362,750.00 
363,750.00 
364,750.00 
365,750.00 
366,750.00 
367,750.00 
368,750.00 
369,750.00 
370,750.00 
371,750.00 
372,750.00 
373,750.00 
374,750.00 
375,750.00 
376,375.00 
377,750.00 
378,750.00 
379,750.00 
380,750.00 
381,750.00 
382,750.00 
383,750.00 
384,750.00 
385,750.00 
386,750.00 
387,750.00 
388,750.00 
389,750.00 
390,750.00 
391,750.00 
392,750.00 
393,750.00 
394,750.00 
395,750.00 
396,750.00 
397,750.00 
398,750.00 
399,750.00 
400,750.00 
401,750.00 
402,750.00 
403,750.00 
404,750.00 
405,750.00 
406,375.00 
407,375.00 
408,750.00 
409,750.00 
410,750.00 
411,750.00 
412,750.00 
413,750.00 
414,750.00 
415,750.00 
416,750.00 
417,750.00 
418,750.00 
419,750.00 
420,750.00 
421,750.00 
422,750.00 
423,750.00 
424,750.00 
425,750.00 
426,750.00 
427,750.00 
428,750.00 
429,750.00 
430,750.00 
431,750.00 
432,750.00 
433,750.00
434,750.00 
435,750.00 
436,750.00 
437,750.00 
438,750.00 
439,750.00 
440,750.00 
441,750.00 
442,750.00 
443,750.00 
444,750.00 
445,750.00 
446,750.00 
447,750.00 
448,750.00 
449,750.00 
450,750.00 
451,750.00 
452,750.00 
453,750.00 
454,750.00 
455,750.00
456,750.00 
457,750.00 
458,750.00 
459,750.00 
460,750.00 
461,750.00 
462,750.00 
463,750.00 
464,750.00 
465,750.00 
466,750.00 
467,750.00 
468,750.00 
469,750.00 
470,750.00 
471,750.00 
472,750.00 
473,750.00 
474,750.00 
475,750.00 
476,750.00 
477,750.00 
478,750.00 
479,750.00 
480,750.00 
481,750.00 
482,750.00 
483,750.00 
484,750.00 
485,750.00 
486,750.00 
487,750.00 
488,750.00 
489,750.00 
490,750.00 
491,750.00 
492,750.00 
493,750.00 
494,750.00 
495,750.00 
496,750.00 
497,750.00 
498,750.00 
499,750.00 
500,750.00 
501,750.00 
502,750.00 
503,750.00 
504,750.00 
505,750.00 
506,750.00 
507,783.00 
508,750.00 
509,750.00 
510,750.00 
511,750.00 
512,750.00 
513,750.00 
514,750.00 
515,750.00 
516,750.00 
517,750.00 
518,750.00 
519,750.00 
520,750.00 
521,750.00
522,750.00 
523,750.00 
524,750.00 
525,750.00 
526,750.00 
527,750.00 
528,750.00 
529,750.00 
530,1500.00 
531,750.00 
532,750.00 
533,750.00 
534,750.00 
535,375.00 
536,750.00 
537,750.00 
538,750.00 
539,750.00 
540,750.00 
541,750.00 
542,750.00 
543,750.00 
544,750.00 
545,750.00 
546,750.00 
547,750.00 
548,750.00 
549,750.00 
550,750.00 
551,750.00 
552,750.00 
553,750.00 
554,750.00 
555,750.00 
556,750.00 
557,750.00 
558,750.00 
559,750.00 
560,750.00 
561,750.00 
562,750.00 
563,750.00 
564,750.00 
