,Rating
0,4.5
1,4.0
2,5.0
3,3.5
4,1.0
5,4.5
6,4.0
7,4.0
8,4.0
9,4.0
10,4.5
11,3.5
12,3.5
13,3.5
14,4.5
15,4.0
16,3.5
17,4.0
18,3.5
19,4.5
20,4.0
21,4.5
22,3.0
23,4.0
24,4.0
25,3.5
26,4.0
27,4.0
28,3.0
29,3.5
30,4.0
31,5.0
32,4.5
33,3.5
34,5.0
35,5.0
36,4.5
37,4.5
38,5.0
39,5.0
40,4.0
41,4.0
42,4.5
43,4.0
44,5.0
45,4.0
46,4.0
47,4.0
48,3.5
49,4.5
50,4.0
51,4.0
52,2.0
53,4.0
54,3.5
55,5.0
56,2.5
57,4.5
58,2.5
59,4.5
60,4.5
61,3.5
62,4.0
63,5.0
64,4.5
65,3.0
66,4.5
67,4.0
68,4.5
69,5.0
70,5.0
71,5.0
72,3.5
73,3.0
74,4.0
75,2.5
76,4.0
77,5.0
78,4.5
79,4.5
80,5.0
81,4.5
82,3.5
83,4.5
84,3.0
85,4.0
86,4.0
87,4.5
88,2.5
89,3.5
90,3.5
91,4.5
92,3.0
93,4.0
94,4.0
95,5.0
96,4.0
97,3.5
98,4.0
99,4.0
100,4.0
101,4.0
102,2.0
103,5.0
104,5.0
105,4.0
106,3.5
107,4.0
108,3.0
109,5.0
110,4.0
111,4.5
112,4.0
113,4.0
114,4.0
115,3.5
116,4.5
117,5.0
118,3.0
119,4.0
120,3.5
121,2.0
122,5.0
123,4.0
124,2.5
125,2.0
126,5.0
127,3.0
128,5.0
129,4.0
130,4.5
131,4.0
132,4.0
133,3.5
134,4.5
135,4.5
136,4.0
137,4.0
138,4.0
139,5.0
140,4.5
141,3.5
142,4.0
143,4.0
144,4.0
145,4.5
146,3.0
147,4.5
148,5.0
149,3.5
150,5.0
151,4.5
152,4.0
153,4.5
154,4.5
155,4.0
156,4.0
157,4.5
158,4.5
159,4.5
160,4.0
161,2.5
162,5.0
163,5.0
164,3.0
165,5.0
166,4.0
167,3.5
168,4.5
169,4.5
170,4.0
171,4.0
172,4.0
173,4.0
174,4.5
175,4.0
176,4.5
177,4.0
178,4.0
179,5.0
180,4.0
181,4.5
182,4.5
183,4.0
184,5.0
185,4.0
186,5.0
187,5.0
188,4.0
189,4.0
190,5.0
191,2.5
192,4.5
193,4.0
194,4.0
195,4.5
196,4.0
197,4.0
198,4.0
199,3.5
200,4.0
201,4.0
202,4.0
203,3.5
204,4.0
205,4.0
206,4.5
207,3.0
208,3.5
209,4.0
210,4.0
211,4.5
212,3.5
213,4.5
214,3.0
215,4.0
216,4.0
217,3.0
218,3.5
219,4.0
220,3.5
221,5.0
222,3.5
223,4.5
224,4.0
225,4.5
226,3.5
227,4.0
228,4.0
229,4.5
230,3.5
231,4.0
232,3.0
233,4.0
234,4.0
235,1.5
236,4.5
237,3.5
238,3.0
239,4.0
240,4.5
241,4.5
242,4.5
243,4.5
244,5.0
245,5.0
246,4.0
247,5.0
248,4.5
249,4.5
250,4.0
251,4.0
252,4.5
253,1.0
254,3.0
255,4.5
256,4.5
257,3.5
258,4.0
259,4.5
260,3.5
261,3.5
262,5.0
263,2.5
264,4.5
265,4.5
266,3.5
267,5.0
268,2.0
269,4.0
270,4.0
271,3.0
272,4.0
273,4.0
274,4.0
275,4.5
276,2.0
277,5.0
278,4.0
279,3.5
280,3.0
281,3.0
282,4.0
283,4.5
284,4.0
285,4.0
286,4.5
287,3.0
288,4.0
289,4.0
290,4.0
291,4.0
292,4.0
293,4.0
294,3.5
295,4.5
296,4.5
297,4.5
298,4.0
299,3.0
300,4.0
301,4.0
302,4.0
303,3.5
304,4.5
305,4.0
306,4.0
307,3.5
308,4.0
309,3.5
310,4.5
311,4.5
312,5.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.5
320,5.0
321,4.0
322,4.5
323,4.0
324,3.0
325,4.5
326,4.5
327,4.0
328,4.5
329,4.0
330,4.5
331,4.0
332,3.5
333,3.5
334,3.0
335,4.0
336,4.0
337,4.0
338,3.0
339,4.5
340,4.0
341,4.0
342,3.5
343,5.0
344,5.0
345,2.5
346,4.0
347,4.5
348,5.0
349,5.0
350,3.0
351,3.0
352,4.0
353,5.0
354,4.0
355,4.0
356,4.5
357,3.5
358,4.0
359,4.0
360,4.0
361,4.0
362,4.5
363,4.0
364,3.5
365,4.0
366,3.5
367,3.5
368,4.5
369,3.5
370,5.0
371,4.5
372,3.0
373,4.0
374,4.5
375,4.5
376,4.0
377,3.0
378,5.0
379,4.0
380,4.0
381,3.0
382,4.5
383,1.5
384,4.0
385,3.5
386,3.0
387,3.0
388,3.5
389,4.0
390,5.0
391,4.5
392,4.5
393,4.5
394,5.0
395,4.5
396,4.0
397,4.5
398,4.0
399,4.0
400,2.5
401,4.0
402,5.0
403,4.5
404,4.0
405,3.5
406,4.5
407,4.5
408,4.5
409,3.5
410,5.0
411,3.0
412,4.0
413,4.0
414,4.0
415,5.0
416,4.0
417,4.0
418,4.0
419,4.5
420,4.0
421,1.0
422,4.5
423,4.0
424,5.0
425,4.0
426,3.5
427,5.0
428,3.0
429,5.0
430,4.0
431,3.5
432,3.5
433,3.5
434,4.0
435,4.5
