,Sku
0,3170
1,22892
2,22925
3,22840
4,22855
5,22820
6,22834
7,22842
8,22835
9,22841
10,22749
11,22807
12,22988
13,22987
14,22997
15,22975
16,22996
17,22961
18,22974
19,22973
20,22998
21,22959
22,22969
23,22970
24,22958
25,22978
26,22989
27,22971
28,22622
29,22657
30,22632
31,22659
32,22626
33,22726
34,22706
35,22710
36,22709
37,22703
38,22700
39,22708
40,22712
41,22696
42,22724
43,22711
44,22598
45,22429
46,22571
47,22546
48,22497
49,22360
50,22334
51,22373
52,22358
53,22277
54,22307
55,22276
56,22203
57,22153
58,22301
59,22207
60,22190
61,22204
62,22198
63,22131
64,22146
65,22145
66,22144
67,22086
68,22074
69,21904
70,21899
71,21903
72,21898
73,21653
74,18285
75,21720
76,21671
77,21086
78,21085
79,21084
80,20998
81,21036
82,21005
83,21038
84,20894
85,20924
86,20756
87,20807
88,20805
89,20806
90,20653
91,20601
92,20614
93,20606
94,20607
95,20621
96,20495
97,20499
98,20496
99,20517
100,20500
101,20514
102,20448
103,20401
104,20395
105,20427
106,20281
107,20273
108,20274
109,20289
110,20270
111,20267
112,20204
113,20202
114,20208
115,20206
116,20209
117,20149
118,20198
119,20164
120,20181
121,20143
122,20117
123,20081
124,20090
125,20089
126,20037
127,20091
128,20044
129,20049
130,20036
131,20028
132,20045
133,20047
134,19845
135,19840
136,19846
137,19933
138,19788
139,19789
140,19793
141,19690
142,19717
143,19689
144,19664
145,19499
146,19482
147,19468
148,19467
149,19459
150,19481
151,19475
152,19465
153,19469
154,19476
155,19462
156,19464
157,19461
158,19470
159,19463
160,19472
161,19473
162,19466
163,19460
164,19477
165,19478
166,19376
167,19318
168,19231
169,19155
170,18944
171,19032
172,18463
173,18405
174,18221
175,18222
176,17826
177,17621
178,17622
179,17602
180,17538
181,17514
182,17580
183,17345
184,17247
185,17235
186,17233
187,17232
188,17266
189,17037
190,16959
191,15609
192,15610
193,14721
194,14639
195,14340
196,14014
197,13911
198,13297
199,12946
200,12894
201,12888
202,12883
203,12884
204,12879
205,12877
206,12880
207,12816
208,12815
209,12813
210,12390
211,11984
212,11901
213,11549
214,11248
215,8618
216,8613
217,8619
218,8616
219,8612
220,8279
221,6361
222,4193
223,4190
224,4187
225,4185
226,4188
227,4199
228,4183
229,4200
230,4194
231,4533
232,23057
233,23122
234,23091
235,23107
236,23121
237,23117
238,23129
239,23113
240,23106
241,23173
242,23162
243,23191
244,23165
245,23209
246,23211
247,23217
248,23259
249,23293
250,23289
251,23282
252,23278
253,23283
254,23308
255,23294
256,23290
257,23330
258,23360
259,23377
260,23363
261,23400
262,23397
263,23447
264,23448
265,23449
266,23646
267,23519
268,23520
269,23660
270,23659
271,23924
272,23891
273,24218
274,24234
275,24217
276,24236
277,OLR992
278,RWX710
279,24235
280,24232
281,24216
282,24233
283,24228
284,24246
285,24248
286,24244
287,24249
288,24245
289,24237
290,24247
291,24250
292,MAI868
293,23295
294,23285
295,ANZ125
296,23120
297,23284
298,23119
299,22352
300,22879
301,22103
302,19505
303,23398
304,6952
305,VPL697
306,24251
307,24238
308,24252
309,22698
310,16349
311,20691
312,24211
313,24210
314,24240
315,24241
316,20513
317,PSL264
318,22980
319,20048
320,22982
321,22133
322,22662
323,VDI791
324,22956
325,EZQ512
326,22761
327,22966
328,21703
329,21039
330,22688
331,17620
332,16397
333,6363
334,23450
335,20292
336,22851
337,22350
338,11249
339,MLR793
340,22178
341,21793
342,21088
343,16879
344,22849
345,20069
346,22199
347,23539
348,23541
349,23540
350,22227
351,23414
352,21792
353,23542
354,21794
355,23390
356,23389
357,22171
358,RCS847
359,23543
360,20940
